Subset      Reference   Calculated
RSE43          416.15   415.14
RSE43          433.45   428.28
RSE43          438.35   446.24
RSE43          430.75   428.85
RSE43          431.55   430.10
RSE43          432.85   430.91
RSE43          428.45   426.59
RSE43          429.95   428.81
RSE43          429.45   429.16
RSE43          413.75   412.32
RSE43          421.35   417.65
RSE43          423.05   419.13
RSE43          425.05   422.31
RSE43          424.95   422.66
RSE43          424.85   422.28
RSE43          424.95   421.99
RSE43          428.35   427.91
RSE43          427.65   431.07
RSE43          418.95   420.11
RSE43          436.15   437.62
RSE43          418.35   418.89
RSE43          420.25   422.02
RSE43          422.55   421.29
RSE43          418.15   418.23
RSE43          427.95   426.67
RSE43          427.65   430.02
RSE43          428.55   429.12
RSE43          425.45   427.62
RSE43          425.05   427.40
RSE43          427.15   428.84
RSE43          432.05   434.45
RSE43          419.95   423.56
RSE43          422.35   426.77
RSE43          433.85   437.23
RSE43          421.35   424.59
RSE43          431.05   432.85
RSE43          427.95   429.86
RSE43          408.35   402.08
RSE43          406.35   402.99
RSE43          405.05   400.64
RSE43          418.35   416.25
RSE43          424.75   421.86
RSE43          429.15   428.67
S22              3.13     2.18
S22              4.99     4.37
S22             18.75    20.03
S22             16.06    17.00
S22             20.64    19.46
S22             16.93    18.34
S22             16.66    17.85
S22              0.53     0.54
S22              1.47     1.86
S22              1.45     1.54
S22              2.65     2.74
S22              4.25     3.98
S22              9.80     8.68
S22              4.52     4.23
S22             11.73    10.56
S22              1.50     1.58
S22              3.27     3.13
S22              2.31     2.43
S22              4.54     3.19
S22              2.72     2.85
S22              5.63     5.87
S22              7.10     6.26
S66              4.92     4.06
S66              5.59     5.19
S66              6.91     6.92
S66              8.10     6.89
S66              5.76     5.17
S66              7.55     7.49
S66              8.23     7.37
S66              5.01     3.78
S66              3.06     2.87
S66              4.16     3.75
S66              5.42     4.79
S66              7.27     6.95
S66              6.19     5.96
S66              7.45     7.59
S66              8.63     8.50
S66              5.12     4.21
S66             17.18    16.66
S66              6.86     6.68
S66              7.41     7.13
S66             19.09    20.02
S66             16.26    16.86
S66             19.49    19.30
S66             19.19    19.20
S66              2.82     2.96
S66              3.90     3.90
S66              9.83     8.62
S66              3.44     3.43
S66              5.71     4.20
S66              6.82     5.31
S66              1.43     1.44
S66              3.38     2.68
S66              3.74     3.27
S66              1.87     1.76
S66              3.78     4.55
S66              2.61     3.12
S66              1.78     2.10
S66              2.40     2.89
S66              3.00     3.46
S66              3.58     3.80
S66              2.90     3.08
S66              4.85     4.56
S66              4.14     3.30
S66              3.71     2.49
S66              2.01     2.35
S66              1.75     1.58
S66              4.26     4.39
S66              2.88     3.01
S66              3.54     3.64
S66              3.33     3.36
S66              2.87     2.96
S66              1.52     1.61
S66              4.71     4.18
S66              4.36     3.79
S66              3.28     3.13
S66              4.19     3.98
S66              3.23     3.23
S66              5.28     5.26
S66              4.15     3.99
S66              2.85     2.22
S66              4.87     4.40
S66              2.91     2.72
S66              3.53     3.65
S66              3.80     2.95
S66              3.00     2.76
S66              3.99     4.50
S66              3.97     3.56
SCONF            0.86     0.63
SCONF            2.28     3.65
SCONF            3.08     4.28
SCONF            4.60     4.90
SCONF            4.87     4.60
SCONF            4.16     5.76
SCONF            4.38     5.92
SCONF            6.19     6.66
SCONF            6.18     7.36
SCONF            5.65     7.59
SCONF            5.59     7.71
SCONF            5.93     6.34
SCONF            6.31     7.28
SCONF            6.22     8.11
SCONF            0.20    -0.07
SCONF            6.16     0.42
SCONF            5.54    -1.58
SIE4x4          64.40    71.16
SIE4x4          58.90    62.07
SIE4x4          48.70    47.59
SIE4x4          38.30    33.82
SIE4x4          56.90    63.86
SIE4x4          46.90    64.70
SIE4x4          31.30    56.01
SIE4x4          19.10    48.81
SIE4x4          35.90    41.01
SIE4x4          25.90    28.78
SIE4x4          13.40    16.11
SIE4x4           4.90     8.61
SIE4x4          39.70    44.13
SIE4x4          29.10    33.89
SIE4x4          16.90    23.04
SIE4x4           9.30    16.99
TAUT15           4.30     4.32
TAUT15           6.56     8.76
TAUT15          -5.44    -9.01
TAUT15           5.25     4.30
TAUT15          13.03    15.17
TAUT15           0.93    -5.07
TAUT15           0.74    -6.15
TAUT15           1.45    -6.63
TAUT15          -0.17    -5.39
TAUT15          -0.87    -6.70
TAUT15           2.85     2.69
TAUT15           2.15     3.00
TAUT15           0.55    -0.34
TAUT15           0.95     2.98
TAUT15          -0.45    -2.12
UPU23            4.87     3.06
UPU23            2.97     2.63
UPU23            8.90     9.38
UPU23            2.22     1.79
UPU23            2.02     1.48
UPU23            3.14     2.87
UPU23            0.57    -0.25
UPU23            3.32     2.98
UPU23            7.26     7.53
UPU23            3.96     3.24
UPU23           11.13    10.65
UPU23            4.82     4.99
UPU23           14.41    14.48
UPU23            5.15     3.84
UPU23            5.48     6.01
UPU23            6.84     6.77
UPU23            3.90     2.54
UPU23            6.43     5.69
UPU23            5.42     5.29
UPU23            6.70     5.00
UPU23            5.60     6.10
UPU23           10.42    10.95
UPU23            6.09     6.31
W4-11          109.49   120.93
W4-11          213.17   231.85
W4-11           73.57    73.92
W4-11          324.94   344.17
W4-11          281.29   299.14
W4-11           85.00    82.41
W4-11          190.75   202.97
W4-11           73.92    76.06
W4-11          535.88   564.44
W4-11          307.87   329.17
W4-11          420.42   450.46
W4-11          607.02   629.39
W4-11          382.75   383.78
W4-11          242.27   249.81
W4-11          713.08   759.23
W4-11         1007.91  1070.28
W4-11          181.46   189.60
W4-11           84.22    90.33
W4-11          183.91   187.94
W4-11           87.73    91.14
W4-11          721.50   752.38
W4-11          582.30   607.66
W4-11          422.96   436.95
W4-11          861.58   906.32
W4-11          298.02   305.91
W4-11          811.24   843.63
W4-11          474.63   496.31
W4-11          564.10   591.53
W4-11          513.50   529.86
W4-11          107.50   107.66
W4-11          182.59   188.53
W4-11           83.10    87.41
W4-11          482.28   497.67
W4-11          410.97   390.06
W4-11          232.97   230.56
W4-11          141.64   133.95
W4-11          446.08   463.15
W4-11          107.21   107.74
W4-11          705.61   733.69
W4-11          677.86   693.81
W4-11          704.10   733.37
W4-11          577.78   531.46
W4-11          470.97   441.12
W4-11          573.89   584.79
W4-11          651.53   671.20
W4-11          437.67   434.52
W4-11          430.97   411.35
W4-11          309.10   298.04
W4-11          359.93   360.93
W4-11          438.28   441.25
W4-11          439.44   446.13
W4-11          163.78   135.54
W4-11          804.02   811.95
W4-11          405.52   414.09
W4-11          374.66   371.66
W4-11          343.75   345.85
W4-11          182.52   126.72
W4-11          225.27   221.46
W4-11          322.48   300.60
W4-11          312.65   298.85
W4-11          317.65   299.76
W4-11          122.62   102.50
W4-11          533.46   530.37
W4-11          142.71   120.48
W4-11          501.90   488.52
W4-11          336.25   328.49
W4-11          635.10   619.59
W4-11          403.74   385.31
W4-11          248.06   240.41
W4-11          478.76   447.66
W4-11          398.47   391.05
W4-11          313.42   300.28
W4-11          298.20   270.24
W4-11          266.16   260.76
W4-11          279.42   256.45
W4-11          259.73   205.75
W4-11          456.07   453.38
W4-11          420.64   393.91
W4-11          410.07   391.22
W4-11          269.09   254.72
W4-11          296.53   276.27
W4-11          434.74   418.62
W4-11          291.13   273.68
W4-11          258.78   193.13
W4-11          390.14   365.94
W4-11          386.09   361.14
W4-11          410.03   401.28
W4-11          132.72   101.04
W4-11          165.13   152.53
W4-11          166.23   150.00
W4-11          502.04   472.85
W4-11          228.49   188.78
W4-11          224.86   201.17
W4-11          335.75   307.26
W4-11          193.05   158.35
W4-11          285.45   261.39
W4-11          175.53   158.66
W4-11          364.97   335.57
W4-11          350.15   313.92
W4-11          205.89   177.02
W4-11          158.65   144.18
W4-11          312.22   267.35
W4-11          312.65   264.32
W4-11          280.78   251.07
W4-11          331.79   291.35
W4-11          172.22   134.94
W4-11          181.35   149.92
W4-11          346.94   251.97
W4-11          177.36   136.77
W4-11          105.81    75.82
W4-11          260.62   181.50
W4-11          152.75   117.80
W4-11          126.47    93.79
W4-11          270.85   224.07
W4-11          233.09   198.91
W4-11          104.25    84.70
W4-11          290.58   247.15
W4-11           59.75    45.38
W4-11          120.82    93.62
W4-11           39.04    22.29
W4-11          233.30   195.00
W4-11          208.78   147.15
W4-11          117.59    91.47
W4-11           62.80    45.43
W4-11          227.88   181.49
W4-11           65.45    42.51
W4-11          168.36   122.19
W4-11          101.46    71.61
W4-11          234.35   167.34
W4-11           53.08    35.81
W4-11          147.02   104.70
W4-11          128.12    63.57
W4-11           93.78    64.20
W4-11           67.46    38.81
W4-11          134.72    95.77
W4-11          126.39    91.28
W4-11          152.37   107.19
W4-11          147.43    92.06
W4-11          105.24    65.93
W4-11            2.67    -0.25
WATER27          5.01     4.31
WATER27         15.80    14.88
WATER27         27.40    27.35
WATER27         35.90    35.87
WATER27         46.00    43.87
WATER27         45.80    44.79
WATER27         45.30    44.94
WATER27         44.30    43.75
WATER27         72.60    71.82
WATER27         72.60    71.84
WATER27        198.60   199.71
WATER27        208.00   200.61
WATER27        208.00   202.11
WATER27        209.70   205.30
WATER27         33.50    37.96
WATER27         56.90    59.90
WATER27         76.50    78.50
WATER27        117.80   117.52
WATER27        114.90   117.03
WATER27         26.60    31.24
WATER27         48.40    52.32
WATER27         67.60    71.28
WATER27         84.80    86.10
WATER27         84.80    88.00
WATER27        100.70   102.28
WATER27        115.70   118.36
WATER27         28.50    17.39
WCPT18          36.76    33.48
WCPT18          36.21    31.41
WCPT18          60.95    63.23
WCPT18          47.52    44.86
WCPT18          65.68    69.59
WCPT18          81.24    96.16
WCPT18          32.00    30.29
WCPT18          28.97    26.72
WCPT18          58.80    61.78
WCPT18           5.40    -4.53
WCPT18           2.68    -9.60
WCPT18          28.78    23.18
WCPT18           8.68    -1.12
WCPT18          33.89    28.49
WCPT18          59.63    58.07
WCPT18           5.83    -0.22
WCPT18           3.54    -4.45
WCPT18          33.22    32.87
YBDE18          57.17    49.89
YBDE18          91.14    79.77
YBDE18          20.96    12.76
YBDE18          36.40    17.44
YBDE18          38.99    33.64
YBDE18          51.74    35.90
YBDE18          12.31    27.22
YBDE18          53.73    60.81
YBDE18          32.58    32.87
YBDE18          28.87    14.45
YBDE18          42.11    46.05
YBDE18          42.81    30.60
YBDE18          52.28    48.37
YBDE18          76.37    68.78
YBDE18          44.80    37.49
YBDE18          60.11    42.26
YBDE18          66.59    68.62
YBDE18          78.00    68.76
